[Name],,,,
Plane 1,,,,
,,,,
[Data],,,,
X [ m ], Y [ m ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Pressure [ Pa ]
-1.08E+00,-7.61E-01,1.25E-01, 3.38213169e-04, 7.00691789e-02
-1.05E+00,-7.61E-01,1.25E-01, 2.98519008e-04, 6.98942840e-02
-1.02E+00,-7.61E-01,1.25E-01, 2.43068906e-04, 6.97194636e-02
-9.88E-01,-7.61E-01,1.25E-01, 1.70602070e-04, 6.95461407e-02
-1.23E+00,-7.33E-01,1.38E-01, 4.36711183e-04, 7.09425807e-02
-1.20E+00,-7.32E-01,1.38E-01, 4.61455318e-04, 7.07675442e-02
-1.17E+00,-7.32E-01,1.38E-01, 4.76368092e-04, 7.05932900e-02
-1.14E+00,-7.32E-01,1.39E-01, 4.79427865e-04, 7.04202652e-02
-1.11E+00,-7.31E-01,1.39E-01, 4.67951817e-04, 7.02482089e-02
-1.08E+00,-7.31E-01,1.38E-01, 4.40895645e-04, 7.00758994e-02
-1.05E+00,-7.31E-01,1.38E-01, 3.97508702e-04, 6.99037611e-02
-1.02E+00,-7.31E-01,1.38E-01, 3.36015684e-04, 6.97320998e-02
-9.89E-01,-7.31E-01,1.38E-01, 2.54362007e-04, 6.95611909e-02
-9.60E-01,-1.00E+00,0.00E+00, 0.00000000e+00, 6.93491325e-02
-9.60E-01,-9.70E-01,1.76E-02,-2.27E-06, 6.93489164e-02
-9.30E-01,-1.00E+00,0.00E+00, 0.00000000e+00, 6.91745430e-02
-9.30E-01,-9.70E-01,1.76E-02,-6.39E-06, 6.91740513e-02
-9.00E-01,-1.00E+00,0.00E+00, 0.00000000e+00, 6.89995512e-02
-9.00E-01,-9.70E-01,1.76E-02,-1.13E-05, 6.89986721e-02
-8.70E-01,-1.00E+00,0.00E+00, 0.00000000e+00, 6.88238069e-02
-8.70E-01,-9.70E-01,1.76E-02,-1.70E-05, 6.88224509e-02
-8.40E-01,-1.00E+00,0.00E+00, 0.00000000e+00, 6.86469376e-02
-8.40E-01,-9.70E-01,1.76E-02,-2.36E-05, 6.86450079e-02
-8.10E-01,-1.00E+00,0.00E+00, 0.00000000e+00, 6.84685260e-02
-8.10E-01,-9.70E-01,1.77E-02,-3.12E-05, 6.84659183e-02
-7.80E-01,-1.00E+00,0.00E+00, 0.00000000e+00, 6.82880729e-02
-7.80E-01,-9.70E-01,1.77E-02,-3.98E-05, 6.82847053e-02
-7.50E-01,-1.00E+00,0.00E+00, 0.00000000e+00, 6.81050122e-02
-7.50E-01,-9.70E-01,1.78E-02,-4.96E-05, 6.81007802e-02
-7.20E-01,-1.00E+00,0.00E+00, 0.00000000e+00, 6.79187328e-02
-7.20E-01,-9.70E-01,1.79E-02,-6.07E-05, 6.79135248e-02
-6.90E-01,-1.00E+00,0.00E+00, 0.00000000e+00, 6.77285194e-02
-6.90E-01,-9.70E-01,1.79E-02,-7.30E-05, 6.77222013e-02
-6.60E-01,-1.00E+00,0.00E+00, 0.00000000e+00, 6.75335824e-02
-6.60E-01,-9.70E-01,1.81E-02,-8.68E-05, 6.75260276e-02
-6.30E-01,-1.00E+00,0.00E+00, 0.00000000e+00, 6.73330128e-02
-6.30E-01,-9.70E-01,1.82E-02,-1.02E-04, 6.73240945e-02
-6.00E-01,-1.00E+00,0.00E+00, 0.00000000e+00, 6.71258122e-02
-6.00E-01,-9.70E-01,1.83E-02,-1.19E-04, 6.71153441e-02
-5.70E-01,-1.00E+00,0.00E+00, 0.00000000e+00, 6.69106171e-02
-5.70E-01,-9.70E-01,1.85E-02,-1.38E-04, 6.68983832e-02
-5.40E-01,-1.00E+00,0.00E+00, 0.00000000e+00, 6.66861087e-02
-5.40E-01,-9.70E-01,1.87E-02,-1.58E-04, 6.66720271e-02
-5.10E-01,-1.00E+00,0.00E+00, 0.00000000e+00, 6.64509982e-02
-5.10E-01,-9.70E-01,1.89E-02,-1.81E-04, 6.64349869e-02
-4.80E-01,-1.00E+00,0.00E+00, 0.00000000e+00, 6.62038103e-02
-4.80E-01,-9.70E-01,1.92E-02,-2.05E-04, 6.61859065e-02
-9.60E-01,-9.40E-01,3.46E-02,-6.28E-06, 6.93481490e-02
-9.30E-01,-9.40E-01,3.46E-02,-1.85E-05, 6.91724941e-02
-9.00E-01,-9.40E-01,3.46E-02,-3.30E-05, 6.89959675e-02
-8.70E-01,-9.40E-01,3.47E-02,-4.99E-05, 6.88183382e-02
-8.40E-01,-9.40E-01,3.47E-02,-6.95E-05, 6.86392039e-02
-8.10E-01,-9.40E-01,3.48E-02,-9.21E-05, 6.84581473e-02
-7.80E-01,-9.40E-01,3.49E-02,-1.18E-04, 6.82746619e-02
-7.50E-01,-9.40E-01,3.50E-02,-1.47E-04, 6.80881515e-02
-7.20E-01,-9.40E-01,3.51E-02,-1.80E-04, 6.78979605e-02
-6.90E-01,-9.40E-01,3.53E-02,-2.17E-04, 6.77033514e-02
-6.60E-01,-9.40E-01,3.55E-02,-2.58E-04, 6.75034821e-02
-6.30E-01,-9.40E-01,3.57E-02,-3.04E-04, 6.72974214e-02
-6.00E-01,-9.40E-01,3.60E-02,-3.54E-04, 6.70841709e-02
-5.69E-01,-9.40E-01,3.62E-02,-4.09E-04, 6.68620318e-02
-5.39E-01,-9.40E-01,3.65E-02,-4.69E-04, 6.66301996e-02
-5.09E-01,-9.40E-01,3.69E-02,-5.35E-04, 6.63871616e-02
-4.79E-01,-9.40E-01,3.75E-02,-6.09E-04, 6.61319122e-02
-9.59E-01,-9.10E-01,5.11E-02,-1.07E-05, 6.93474337e-02
-9.29E-01,-9.10E-01,5.11E-02,-3.49E-05, 6.91709593e-02
-9.00E-01,-9.10E-01,5.12E-02,-6.35E-05, 6.89932778e-02
-8.70E-01,-9.10E-01,5.12E-02,-9.71E-05, 6.88141584e-02
-8.40E-01,-9.10E-01,5.13E-02,-1.36E-04, 6.86331913e-02
-8.10E-01,-9.10E-01,5.14E-02,-1.81E-04, 6.84499592e-02
-7.80E-01,-9.10E-01,5.15E-02,-2.32E-04, 6.82639256e-02
-7.50E-01,-9.10E-01,5.16E-02,-2.91E-04, 6.80745095e-02
-7.20E-01,-9.10E-01,5.18E-02,-3.56E-04, 6.78810105e-02
-6.90E-01,-9.10E-01,5.20E-02,-4.30E-04, 6.76826909e-02
-6.60E-01,-9.10E-01,5.23E-02,-5.12E-04, 6.74786419e-02
-6.30E-01,-9.10E-01,5.26E-02,-6.03E-04, 6.72679096e-02
-6.00E-01,-9.10E-01,5.30E-02,-7.04E-04, 6.70494586e-02
-5.69E-01,-9.10E-01,5.33E-02,-8.13E-04, 6.68211877e-02
-5.39E-01,-9.10E-01,5.37E-02,-9.32E-04, 6.65830448e-02
-5.09E-01,-9.11E-01,5.43E-02,-1.06E-03, 6.63332269e-02
-4.79E-01,-9.10E-01,5.50E-02,-1.21E-03, 6.60707280e-02
-9.59E-01,-8.80E-01,6.71E-02,-1.31E-05, 6.93472624e-02
-9.29E-01,-8.80E-01,6.71E-02,-5.24E-05, 6.91706687e-02
-8.99E-01,-8.80E-01,6.71E-02,-9.91E-05, 6.89925179e-02
-8.69E-01,-8.80E-01,6.72E-02,-1.54E-04, 6.88126013e-02
-8.40E-01,-8.80E-01,6.72E-02,-2.18E-04, 6.86305612e-02
-8.10E-01,-8.80E-01,6.73E-02,-2.92E-04, 6.84459731e-02
-7.80E-01,-8.80E-01,6.75E-02,-3.76E-04, 6.82582930e-02
-7.50E-01,-8.80E-01,6.76E-02,-4.71E-04, 6.80669248e-02
-7.20E-01,-8.80E-01,6.79E-02,-5.79E-04, 6.78711608e-02
-6.90E-01,-8.80E-01,6.81E-02,-7.00E-04, 6.76702335e-02
-6.60E-01,-8.80E-01,6.85E-02,-8.35E-04, 6.74632862e-02
-6.30E-01,-8.80E-01,6.88E-02,-9.85E-04, 6.72492683e-02
-6.00E-01,-8.80E-01,6.92E-02,-1.15E-03, 6.70271814e-02
-5.69E-01,-8.80E-01,6.97E-02,-1.33E-03, 6.67947978e-02
-5.39E-01,-8.81E-01,7.02E-02,-1.53E-03, 6.65521175e-02
-5.09E-01,-8.81E-01,7.08E-02,-1.75E-03, 6.62974492e-02
-4.79E-01,-8.80E-01,7.17E-02,-1.98E-03, 6.60293400e-02
-9.59E-01,-8.50E-01,8.24E-02,-1.00E-05, 6.93479180e-02
-9.29E-01,-8.50E-01,8.25E-02,-6.66E-05, 6.91719428e-02
-8.99E-01,-8.50E-01,8.25E-02,-1.34E-04, 6.89941272e-02
-8.69E-01,-8.50E-01,8.26E-02,-2.13E-04, 6.88142478e-02
-8.39E-01,-8.50E-01,8.26E-02,-3.06E-04, 6.86319992e-02
-8.09E-01,-8.50E-01,8.27E-02,-4.13E-04, 6.84469789e-02
-7.80E-01,-8.50E-01,8.29E-02,-5.35E-04, 6.82586357e-02
-7.50E-01,-8.50E-01,8.31E-02,-6.74E-04, 6.80663362e-02
-7.20E-01,-8.50E-01,8.33E-02,-8.31E-04, 6.78694323e-02
-6.90E-01,-8.50E-01,8.36E-02,-1.01E-03, 6.76671639e-02
-6.60E-01,-8.50E-01,8.39E-02,-1.20E-03, 6.74586371e-02
-6.30E-01,-8.50E-01,8.44E-02,-1.42E-03, 6.72428235e-02
-6.00E-01,-8.50E-01,8.48E-02,-1.67E-03, 6.70186430e-02
-5.69E-01,-8.50E-01,8.54E-02,-1.93E-03, 6.67841136e-02
-5.39E-01,-8.50E-01,8.59E-02,-2.22E-03, 6.65386021e-02
-5.09E-01,-8.50E-01,8.67E-02,-2.54E-03, 6.62808567e-02
-4.79E-01,-8.50E-01,8.76E-02,-2.88E-03, 6.60091713e-02
-9.58E-01,-8.20E-01,9.72E-02, 3.25507926e-06, 6.93516433e-02
-9.29E-01,-8.20E-01,9.73E-02,-7.21E-05, 6.91758990e-02
-8.99E-01,-8.20E-01,9.73E-02,-1.62E-04, 6.89990148e-02
-8.69E-01,-8.20E-01,9.74E-02,-2.68E-04, 6.88200220e-02
-8.39E-01,-8.20E-01,9.74E-02,-3.91E-04, 6.86385781e-02
-8.09E-01,-8.20E-01,9.75E-02,-5.34E-04, 6.84542060e-02
-7.79E-01,-8.20E-01,9.77E-02,-6.98E-04, 6.82663396e-02
-7.50E-01,-8.20E-01,9.78E-02,-8.85E-04, 6.80746064e-02
-7.20E-01,-8.20E-01,9.81E-02,-1.09E-03, 6.78780079e-02
-6.90E-01,-8.20E-01,9.84E-02,-1.33E-03, 6.76758364e-02
-6.60E-01,-8.20E-01,9.87E-02,-1.60E-03, 6.74672946e-02
-6.30E-01,-8.20E-01,9.92E-02,-1.89E-03, 6.72514364e-02
-6.00E-01,-8.20E-01,9.97E-02,-2.22E-03, 6.70270398e-02
-5.70E-01,-8.20E-01,1.00E-01,-2.58E-03, 6.67924136e-02
-5.39E-01,-8.20E-01,1.01E-01,-2.97E-03, 6.65463731e-02
-5.09E-01,-8.20E-01,1.02E-01,-3.40E-03, 6.62875995e-02
-4.79E-01,-8.20E-01,1.03E-01,-3.87E-03, 6.60146102e-02
-9.58E-01,-7.90E-01,1.12E-01, 3.14792014e-05, 6.93601519e-02
-9.28E-01,-7.90E-01,1.12E-01,-6.30E-05, 6.91846535e-02
-8.99E-01,-7.90E-01,1.12E-01,-1.76E-04, 6.90087080e-02
-8.69E-01,-7.90E-01,1.12E-01,-3.10E-04, 6.88308626e-02
-8.39E-01,-7.90E-01,1.12E-01,-4.65E-04, 6.86511472e-02
-8.09E-01,-7.90E-01,1.12E-01,-6.46E-04, 6.84685633e-02
-7.79E-01,-7.90E-01,1.12E-01,-8.52E-04, 6.82828948e-02
-7.50E-01,-7.90E-01,1.12E-01,-1.09E-03, 6.80933744e-02
-7.20E-01,-7.90E-01,1.12E-01,-1.35E-03, 6.78986385e-02
-6.90E-01,-7.91E-01,1.12E-01,-1.65E-03, 6.76978752e-02
-6.60E-01,-7.90E-01,1.13E-01,-1.99E-03, 6.74907714e-02
-6.30E-01,-7.90E-01,1.13E-01,-2.37E-03, 6.72768280e-02
-6.00E-01,-7.90E-01,1.14E-01,-2.79E-03, 6.70542195e-02
-5.70E-01,-7.90E-01,1.15E-01,-3.25E-03, 6.68214783e-02
-5.39E-01,-7.90E-01,1.15E-01,-3.76E-03, 6.65772408e-02
-5.09E-01,-7.90E-01,1.16E-01,-4.31E-03, 6.63199946e-02
-4.79E-01,-7.90E-01,1.17E-01,-4.90E-03, 6.60482720e-02
-9.58E-01,-7.60E-01,1.25E-01, 7.89557089e-05, 6.93731010e-02
-9.28E-01,-7.60E-01,1.25E-01,-3.40E-05, 6.91993833e-02
-8.99E-01,-7.60E-01,1.25E-01,-1.70E-04, 6.90248087e-02
-8.69E-01,-7.60E-01,1.25E-01,-3.31E-04, 6.88488260e-02
-8.39E-01,-7.60E-01,1.25E-01,-5.19E-04, 6.86718524e-02
-8.09E-01,-7.60E-01,1.25E-01,-7.36E-04, 6.84921592e-02
-7.79E-01,-7.60E-01,1.25E-01,-9.85E-04, 6.83103427e-02
-7.50E-01,-7.61E-01,1.25E-01,-1.27E-03, 6.81242794e-02
-7.20E-01,-7.61E-01,1.25E-01,-1.59E-03, 6.79328591e-02
